trade_number,growth_percentage
1,0.0
2,0.0002
3,0.0004
4,0.0006
5,0.0008
6,0.001
7,0.0012
8,0.0014000000000000002
9,0.0016
10,0.0018
11,0.002
12,0.0022
13,0.0024
14,0.0026
15,0.0028000000000000004
16,0.003
17,0.0032
18,0.0034000000000000002
19,0.0036
20,0.0038
21,0.004
22,0.0042
23,0.0044
24,0.0046
25,0.0048
26,0.005
27,0.0052
28,0.0054
29,0.005600000000000001
30,0.0058
31,0.006
32,0.0062
33,0.0064
34,0.0066
35,0.0068000000000000005
36,0.006999999999999999
37,0.0072
38,0.0074
39,0.0076
40,0.0078000000000000005
41,0.008
42,0.008199999999999999
43,0.0084
44,0.0086
45,0.0088
46,0.009000000000000001
47,0.0092
48,0.009399999999999999
49,0.0096
50,0.0098
51,0.01
52,0.0102
53,0.0104
54,0.0106
55,0.0108
56,0.011000000000000001
57,0.011200000000000002
58,0.011399999999999999
59,0.0116
60,0.0118
61,0.012
62,0.012199999999999999
63,0.0124
64,0.0126
65,0.0128
66,0.013000000000000001
67,0.0132
68,0.0134
69,0.013600000000000001
70,0.0138
71,0.013999999999999999
72,0.014199999999999999
73,0.0144
74,0.0146
75,0.0148
76,0.015
77,0.0152
78,0.0154
79,0.015600000000000001
80,0.0158
81,0.016
82,0.016200000000000003
83,0.016399999999999998
84,0.0166
85,0.0168
86,0.017
87,0.0172
88,0.0174
89,0.0176
90,0.0178
91,0.018000000000000002
92,0.0182
93,0.0184
94,0.018600000000000002
95,0.0189
96,0.0191
97,0.019299999999999998
98,0.0195
99,0.0197
100,0.0199
101,0.020099999999999996
102,0.0203
103,0.020499999999999997
104,0.0207
105,0.0209
106,0.021099999999999997
107,0.0213
108,0.0215
109,0.0217
110,0.0219
111,0.022099999999999998
112,0.0223
113,0.0225
114,0.0227
115,0.0229
116,0.0231
117,0.0233
118,0.0235
119,0.023700000000000002
120,0.0239
121,0.0241
122,0.024300000000000002
123,0.0245
124,0.024700000000000003
125,0.024900000000000002
126,0.025099999999999997
127,0.0253
128,0.0255
129,0.025699999999999997
130,0.0259
131,0.026099999999999998
132,0.0263
133,0.0265
134,0.026699999999999998
135,0.0269
136,0.0271
137,0.0273
138,0.0275
139,0.0277
140,0.0279
141,0.0281
142,0.028300000000000002
143,0.0285
144,0.0287
145,0.028900000000000002
146,0.0291
147,0.029300000000000003
148,0.029500000000000002
149,0.0297
150,0.029900000000000003
151,0.0301
152,0.030299999999999997
153,0.0305
154,0.030699999999999998
155,0.030899999999999997
156,0.0311
157,0.0313
158,0.0315
159,0.0317
160,0.0319
161,0.0321
162,0.0323
163,0.0325
164,0.0327
165,0.0329
166,0.0331
167,0.0333
168,0.0335
169,0.0337
170,0.0339
171,0.0341
172,0.034300000000000004
173,0.0345
174,0.0347
175,0.0349
176,0.0351
177,0.0353
178,0.0355
179,0.035699999999999996
180,0.0359
181,0.0361
182,0.0363
183,0.0365
184,0.036699999999999997
185,0.0369
186,0.0371
187,0.0373
188,0.0375
189,0.0377
190,0.0379
191,0.0381
192,0.0383
193,0.0385
194,0.0387
195,0.038900000000000004
196,0.0391
197,0.0393
198,0.0395
199,0.0397
200,0.039900000000000005
201,0.0401
202,0.0403
203,0.0405
204,0.0407
205,0.0409
206,0.041100000000000005
207,0.041299999999999996
208,0.0415
209,0.0417
210,0.04190000000000001
211,0.0421
212,0.042300000000000004
213,0.0425
214,0.042699999999999995
215,0.0429
216,0.0431
217,0.0433
218,0.0435
219,0.0437
220,0.043899999999999995
221,0.0441
222,0.0443
223,0.044500000000000005
224,0.0447
225,0.0449
226,0.0451
227,0.0453
228,0.0455
229,0.045700000000000005
230,0.045899999999999996
231,0.0461
232,0.0463
233,0.04650000000000001
234,0.0467
235,0.046900000000000004
236,0.0471
237,0.0473
238,0.0475
239,0.04769999999999999
240,0.0479
241,0.0481
242,0.0483
243,0.048499999999999995
244,0.0487
245,0.0489
246,0.049100000000000005
247,0.0493
248,0.0495
249,0.049699999999999994
250,0.0499
251,0.0501
252,0.050300000000000004
253,0.050499999999999996
254,0.0507
255,0.0509
256,0.051100000000000007
257,0.0513
258,0.051500000000000004
259,0.051699999999999996
260,0.0519
261,0.0521
262,0.052300000000000006
263,0.0525
264,0.0527
265,0.0529
266,0.053099999999999994
267,0.0533
268,0.0535
269,0.0537
270,0.053899999999999997
271,0.0541
272,0.054299999999999994
273,0.0545
274,0.0547
275,0.054900000000000004
276,0.055099999999999996
277,0.0553
278,0.0555
279,0.0557
280,0.0559
281,0.056100000000000004
282,0.056299999999999996
283,0.0565
284,0.0567
285,0.056900000000000006
286,0.0571
287,0.057300000000000004
288,0.0575
289,0.057699999999999994
290,0.0579
291,0.0581
292,0.0583
293,0.058499999999999996
294,0.0587
295,0.058899999999999994
296,0.0591
297,0.0593
298,0.059500000000000004
299,0.059699999999999996
300,0.0599
301,0.0601
302,0.0603
303,0.0605
304,0.060700000000000004
305,0.060899999999999996
306,0.0611
307,0.0613
308,0.061500000000000006
309,0.0617
310,0.061900000000000004
311,0.0621
312,0.0623
313,0.0625
314,0.06269999999999999
315,0.0629
316,0.06309999999999999
317,0.0633
318,0.0635
319,0.0637
320,0.0639
321,0.0641
322,0.0643
323,0.0645
324,0.0647
325,0.0649
326,0.06509999999999999
327,0.0653
328,0.0655
329,0.06570000000000001
330,0.0659
331,0.0661
332,0.0663
333,0.0665
334,0.0667
335,0.0669
336,0.06709999999999999
337,0.0673
338,0.0675
339,0.0677
340,0.0679
341,0.0681
342,0.0683
343,0.06849999999999999
344,0.0687
345,0.0689
346,0.0691
347,0.0693
348,0.0695
349,0.0697
350,0.0699
351,0.0701
352,0.0703
353,0.0705
354,0.0707
355,0.0709
356,0.0711
357,0.0713
358,0.07150000000000001
359,0.0717
360,0.0719
361,0.0721
362,0.0723
363,0.0725
364,0.0727
365,0.0729
366,0.0731
367,0.0733
368,0.0735
369,0.0737
370,0.0739
371,0.0741
372,0.07429999999999999
373,0.0745
374,0.0747
375,0.07490000000000001
